год	людей за всю историю	пища	живущих	мужчин	женщин	детей	взрослых	пожилых	средний возраст	средний возраст смерти	количество семей	% детей	% взрослых	% стариков
1000	10	4000	10	6	4	8	2	0	 15,1	  0,0	0	80,0	20,0	 0,0
1001	10	4000	10	6	4	7	3	0	 16,1	  0,0	10	70,0	30,0	 0,0
1002	10	4000	10	6	4	6	4	0	 17,1	  0,0	10	60,0	40,0	 0,0
1003	10	4000	10	6	4	5	5	0	 18,1	  0,0	9	50,0	50,0	 0,0
1004	10	4000	10	6	4	2	8	0	 19,1	  0,0	8	20,0	80,0	 0,0
1005	10	4000	10	6	4	2	8	0	 20,1	  0,0	7	20,0	80,0	 0,0
1006	11	4000	11	7	4	1	10	0	 19,2	  0,0	6	 9,1	90,9	 0,0
1007	12	4000	11	6	5	2	9	0	 17,9	 25,0	6	18,2	81,8	 0,0
1008	13	4000	12	6	6	3	9	0	 17,3	 25,0	5	25,0	75,0	 0,0
1009	13	4000	12	6	6	3	9	0	 18,3	 25,0	5	25,0	75,0	 0,0
1010	18	4000	17	10	7	7	10	0	 14,9	 25,0	5	41,2	58,8	 0,0
1011	18	4000	17	10	7	7	10	0	 15,9	 25,0	5	41,2	58,8	 0,0
1012	18	4000	17	10	7	7	10	0	 16,9	  0,0	5	41,2	58,8	 0,0
1013	18	4000	17	10	7	7	10	0	 17,9	  0,0	5	41,2	58,8	 0,0
1014	19	4000	18	11	7	8	10	0	 17,8	  0,0	5	44,4	55,6	 0,0
1015	19	4000	18	11	7	8	10	0	 18,8	  0,0	5	44,4	55,6	 0,0
1016	20	4000	19	11	8	9	10	0	 18,8	  0,0	5	47,4	52,6	 0,0
1017	20	4000	19	11	8	9	10	0	 19,8	  0,0	5	47,4	52,6	 0,0
1018	20	4000	19	11	8	9	10	0	 20,8	  0,0	5	47,4	52,6	 0,0
1019	20	4000	19	11	8	9	10	0	 21,8	  0,0	5	47,4	52,6	 0,0
1020	20	4000	19	11	8	9	10	0	 22,8	  0,0	6	47,4	52,6	 0,0
1021	21	4000	20	11	9	10	10	0	 22,6	  0,0	6	50,0	50,0	 0,0
1022	21	4000	20	11	9	10	10	0	 23,6	  0,0	6	50,0	50,0	 0,0
1023	22	4000	21	12	9	11	10	0	 23,4	  0,0	5	52,4	47,6	 0,0
1024	22	4000	21	12	9	10	11	0	 24,4	  0,0	7	47,6	52,4	 0,0
1025	22	4000	21	12	9	9	12	0	 25,4	  0,0	7	42,9	57,1	 0,0
1026	22	4000	21	12	9	8	13	0	 26,4	  0,0	8	38,1	61,9	 0,0
1027	24	4000	23	12	11	10	13	0	 25,0	  0,0	8	43,5	56,5	 0,0
1028	24	4000	21	10	11	5	16	0	 27,0	 16,0	7	23,8	76,2	 0,0
1029	24	4000	21	10	11	5	16	0	 28,0	 16,0	10	23,8	76,2	 0,0
1030	27	4000	24	12	12	8	16	0	 25,4	 16,0	11	33,3	66,7	 0,0
1031	29	4000	26	13	13	10	16	0	 24,3	 16,0	10	38,5	61,5	 0,0
1032	29	4000	26	13	13	10	16	0	 25,3	 16,0	10	38,5	61,5	 0,0
1033	29	4000	25	13	12	10	15	0	 26,4	 25,0	9	40,0	60,0	 0,0
1034	35	4000	31	18	13	14	17	0	 23,2	 25,0	11	45,2	54,8	 0,0
1035	38	4000	34	20	14	17	17	0	 22,0	 25,0	12	50,0	50,0	 0,0
1036	40	4000	36	21	15	19	16	1	 21,8	 25,0	12	52,8	44,4	 2,8
1037	42	4000	37	22	15	21	15	1	 21,4	 25,6	11	56,8	40,5	 2,7
1038	43	4000	38	22	16	22	14	2	 21,8	 26,2	11	57,9	36,8	 5,3
1039	43	4000	38	22	16	21	14	3	 22,8	 26,2	9	55,3	36,8	 7,9
